"code","iso","country","PINSETWW.2011"
104,"MMR","Myanmar",0
516,"NAM","Namibia",25
520,"NRU","Nauru",-9999
524,"NPL","Nepal",0
528,"NLD","Netherlands",99
530,"ANT","Netherlands Antilles",-9999
540,"NCL","New Caledonia",-9999
554,"NZL","New Zealand",95
558,"NIC","Nicaragua",0
562,"NER","Niger",0
566,"NGA","Nigeria",2
570,"NIU","Niue",-9999
574,"NFK","Norfolk Island",-9999
408,"PRK","North Korea",0
580,"MNP","Northern Mariana Islands",-9999
578,"NOR","Norway",65
512,"OMN","Oman",20
586,"PAK","Pakistan",1
585,"PLW","Palau",-9999
591,"PAN","Panama",30
598,"PNG","Papua New Guinea",0
600,"PRY","Paraguay",5
604,"PER","Peru",20
608,"PHL","Philippines",2
612,"PCN","Pitcairn",-9999
616,"POL","Poland",79
620,"PRT","Portugal",85
630,"PRI","Puerto Rico",-9999
634,"QAT","Qatar",68
638,"REU","Reunion",-9999
642,"ROU","Romania",36
643,"RUS","Russia",25
646,"RWA","Rwanda",0
654,"SHN","Saint Helena",-9999
659,"KNA","Saint Kitts and Nevis",-9999
662,"LCA","Saint Lucia",-9999
666,"SPM","Saint Pierre and Miquelon",-9999
670,"VCT","Saint Vincent and the Grenadines",-9999
882,"WSM","Samoa",-9999
674,"SMR","San Marino",-9999
678,"STP","Sao Tome and Principe",-9999
682,"SAU","Saudi Arabia",25
686,"SEN","Senegal",5
688,"SRB","Serbia",10
690,"SYC","Seychelles",-9999
694,"SLE","Sierra Leone",0
702,"SGP","Singapore",100
703,"SVK","Slovakia",65
705,"SVN","Slovenia",85
90,"SLB","Solomon Islands",-9999
706,"SOM","Somalia",-9999
710,"ZAF","South Africa",10
410,"KOR","South Korea",84
724,"ESP","Spain",93
144,"LKA","Sri Lanka",0
275,"PSE","State of Palestine",-9999
736,"SDN","Sudan",0
740,"SUR","Suriname",-9999
744,"SJM","Svalbard and Jan Mayen Islands",-9999
748,"SWZ","Swaziland",5
752,"SWE","Sweden",100
756,"CHE","Switzerland",97
760,"SYR","Syria",50
999,"TWN","Taiwan",17
762,"TJK","Tajikistan",5
834,"TZA","Tanzania",8
764,"THA","Thailand",12
626,"TLS","Timor-Leste",-9999
768,"TGO","Togo",0
772,"TKL","Tokelau",-9999
776,"TON","Tonga",-9999
780,"TTO","Trinidad and Tobago",-9999
788,"TUN","Tunisia",80
792,"TUR","Turkey",43
795,"TKM","Turkmenistan",20
796,"TCA","Turks and Caicos Islands",-9999
798,"TUV","Tuvalu",-9999
800,"UGA","Uganda",7
804,"UKR","Ukraine",21
784,"ARE","United Arab Emirates",55
826,"GBR","United Kingdom",99
840,"USA","United States of America",78
850,"VIR","United States Virgin Islands",-9999
858,"URY","Uruguay",5
860,"UZB","Uzbekistan",0
548,"VUT","Vanuatu",-9999
862,"VEN","Venezuela",27
704,"VNM","Viet Nam",2
876,"WLF","Wallis and Futuna Islands",-9999
732,"ESH","Western Sahara",-9999
887,"YEM","Yemen",0
894,"ZMB","Zambia",15
716,"ZWE","Zimbabwe",0
