"code","iso","country","PINSETCXN.2011"
882,"WSM","Samoa",-9999
674,"SMR","San Marino",-9999
678,"STP","Sao Tome and Principe",-9999
682,"SAU","Saudi Arabia",51
686,"SEN","Senegal",10
688,"SRB","Serbia",84
690,"SYC","Seychelles",-9999
694,"SLE","Sierra Leone",2
702,"SGP","Singapore",100
703,"SVK","Slovakia",82
705,"SVN","Slovenia",90
90,"SLB","Solomon Islands",-9999
706,"SOM","Somalia",-9999
710,"ZAF","South Africa",78
410,"KOR","South Korea",90
724,"ESP","Spain",98
144,"LKA","Sri Lanka",25
275,"PSE","State of Palestine",-9999
736,"SDN","Sudan",1
740,"SUR","Suriname",-9999
744,"SJM","Svalbard and Jan Mayen Islands",-9999
748,"SWZ","Swaziland",74
752,"SWE","Sweden",100
756,"CHE","Switzerland",100
760,"SYR","Syria",96
999,"TWN","Taiwan",58
762,"TJK","Tajikistan",45
834,"TZA","Tanzania",6
764,"THA","Thailand",9
626,"TLS","Timor-Leste",-9999
768,"TGO","Togo",0
772,"TKL","Tokelau",-9999
776,"TON","Tonga",-9999
780,"TTO","Trinidad and Tobago",-9999
788,"TUN","Tunisia",84
792,"TUR","Turkey",95
795,"TKM","Turkmenistan",49
796,"TCA","Turks and Caicos Islands",-9999
798,"TUV","Tuvalu",-9999
800,"UGA","Uganda",10
804,"UKR","Ukraine",70
784,"ARE","United Arab Emirates",93
826,"GBR","United Kingdom",99
840,"USA","United States of America",95
850,"VIR","United States Virgin Islands",-9999
858,"URY","Uruguay",41
860,"UZB","Uzbekistan",39
548,"VUT","Vanuatu",-9999
862,"VEN","Venezuela",73
704,"VNM","Viet Nam",3
876,"WLF","Wallis and Futuna Islands",-9999
732,"ESH","Western Sahara",-9999
887,"YEM","Yemen",42
894,"ZMB","Zambia",28
716,"ZWE","Zimbabwe",52
