"code","iso","country","CXN.1995","CXN.1996","CXN.1997","CXN.1998","CXN.1999","CXN.2000","CXN.2001","CXN.2002","CXN.2003","CXN.2004","CXN.2005","CXN.2006","CXN.2007","CXN.2008","CXN.2009","CXN.2010","CXN.2011","CXN.2012","CXN.2013","CXN.2014"
585,"PLW","Palau",40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,40
591,"PAN","Panama",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,46,48,55,56,57,-9999,47,-9999,-9999,51.5
598,"PNG","Papua New Guinea",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12,-9999,-9999,-9999,10,-9999,-9999,11
600,"PRY","Paraguay",18.4,-9999,-9999,-9999,13.8,-9999,16.9,15.3,17,13.2,13.5,14,15.1,14,16,-9999,20,-9999,-9999,15.5
604,"PER","Peru",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.3,75,75.3,76.9,77.6,79.2,81,-9999,61,-9999,-9999,74.9125
608,"PHL","Philippines",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,10,-9999,-9999,6.25
612,"PCN","Pitcairn",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
616,"POL","Poland",53,53,54,55,57,54,56,57,57,58,59,60,60,61,62,-9999,84,-9999,-9999,60.7272727272727
620,"PRT","Portugal",-9999,-9999,-9999,65,-9999,-9999,-9999,73,74,-9999,74,77,74,78,-9999,-9999,95,-9999,-9999,77.8571428571429
630,"PRI","Puerto Rico",-9999,-9999,-9999,-9999,-9999,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,57
634,"QAT","Qatar",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76.920374,-9999,-9999,-9999,-9999,76.920374
638,"REU","Reunion",-9999,-9999,-9999,31.7,-9999,-9999,33.6,-9999,-9999,39.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.5
642,"ROU","Romania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,43,-9999,40,40,42,43,43,43,-9999,79,-9999,-9999,46.625
643,"RUS","Russia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86,-9999,-9999,86
646,"RWA","Rwanda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,10
654,"SHN","Saint Helena",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
659,"KNA","Saint Kitts and Nevis",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
662,"LCA","Saint Lucia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
666,"SPM","Saint Pierre and Miquelon",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
670,"VCT","Saint Vincent and the Grenadines",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
882,"WSM","Samoa",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
674,"SMR","San Marino",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
678,"STP","Sao Tome and Principe",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
682,"SAU","Saudi Arabia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,-9999,-9999,51
686,"SEN","Senegal",-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,16.5
688,"SRB","Serbia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,46,-9999,-9999,-9999,-9999,48,49,52,-9999,84,-9999,-9999,55.8
690,"SYC","Seychelles",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
694,"SLE","Sierra Leone",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,2
702,"SGP","Singapore",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-9999,100,100,-9999,100
703,"SVK","Slovakia",53,53,53,54,55,55,55,55,56,56,57,57,58,-9999,-9999,-9999,82,-9999,-9999,59
705,"SVN","Slovenia",-9999,-9999,-9999,42,53,53,53,63,63,63,63,63,63,63,63,-9999,90,-9999,-9999,63.6363636363636
90,"SLB","Solomon Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,-9999,-9999,-9999,-9999,-9999,-9999,30
706,"SOM","Somalia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
710,"ZAF","South Africa",41,41,43,45,47,48,51,53,53,55,57,58,60,-9999,-9999,-9999,78,-9999,-9999,57
410,"KOR","South Korea",45.2,-9999,-9999,-9999,-9999,70.5,-9999,-9999,78.8,-9999,-9999,-9999,-9999,-9999,89,90.1,90,-9999,-9999,83.68
724,"ESP","Spain",-9999,-9999,-9999,-9999,-9999,100,-9999,100,-9999,-9999,100,-9999,100,-9999,-9999,-9999,98,-9999,-9999,99.6
144,"LKA","Sri Lanka",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,0,25,-9999,-9999,9.16666666666667
275,"PSE","State of Palestine",31.7,-9999,-9999,-9999,39.3,43.9,-9999,45.8,43.6,42.9,44.7,45.3,-9999,45.5,52.1,-9999,-9999,-9999,-9999,45.475
736,"SDN","Sudan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1
740,"SUR","Suriname",-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
744,"SJM","Svalbard and Jan Mayen Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
748,"SWZ","Swaziland",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,74,-9999,-9999,74
752,"SWE","Sweden",93,-9999,-9999,93,-9999,86,-9999,85,86,86,86,86,-9999,-9999,-9999,-9999,100,-9999,-9999,87.8571428571429
756,"CHE","Switzerland",94,-9999,95,96,96,96,96,96,-9999,96.7,97,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,96.95
760,"SYR","Syria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,96,-9999,-9999,96
999,"TWN","Taiwan",3.2,3.4,3.8,5.06,6.75,13.5,15.4,18,19.94,22.45,24.61,27.23,29.95,32.85,36.44,39.99,43.7,-9999,-9999,27.005
762,"TJK","Tajikistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,45,-9999,-9999,45
834,"TZA","Tanzania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11,-9999,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,8.5
764,"THA","Thailand",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,-9999,-9999,9,-9999,-9999,16
626,"TLS","Timor-Leste",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6
768,"TGO","Togo",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
772,"TKL","Tokelau",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
776,"TON","Tonga",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
780,"TTO","Trinidad and Tobago",-9999,-9999,-9999,-9999,-9999,-9999,20,20,20,30,20,25.2,25.2,-9999,-9999,-9999,-9999,-9999,-9999,22.9142857142857
788,"TUN","Tunisia",36.2,-9999,-9999,-9999,42.7,44.1,45,47.7,50.5,52.6,53.9,54.7,55.3,55.9,-9999,-9999,84,-9999,-9999,54.37
792,"TUR","Turkey",54,55,58,59,60,62,63,65,67,68,71,72,-9999,73,-9999,-9999,95,-9999,-9999,70.6666666666667
795,"TKM","Turkmenistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,49,-9999,-9999,49
796,"TCA","Turks and Caicos Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
798,"TUV","Tuvalu",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
800,"UGA","Uganda",-9999,-9999,-9999,-9999,-9999,-9999,10,10,9,8,8,7,6,6,6,-9999,10,-9999,-9999,8
804,"UKR","Ukraine",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70,-9999,-9999,70
784,"ARE","United Arab Emirates",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.3,-9999,-9999,-9999,93,-9999,-9999,85.65
826,"GBR","United Kingdom",-9999,-9999,-9999,-9999,-9999,-9999,-9999,97.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99,-9999,-9999,98.35
840,"USA","United States of America",-9999,71.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,75,-9999,-9999,95,-9999,-9999,85
850,"VIR","United States Virgin Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
858,"URY","Uruguay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48,41,-9999,-9999,44.5
860,"UZB","Uzbekistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39,-9999,-9999,39
548,"VUT","Vanuatu",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
862,"VEN","Venezuela",-9999,-9999,-9999,-9999,-9999,70.1,71.3,73.7,74.7,75.9,81.2,82.6,83.3,85.5,23.8,-9999,53,-9999,-9999,70.4636363636364
704,"VNM","Viet Nam",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,3,-9999,-9999,2.75
876,"WLF","Wallis and Futuna Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
732,"ESH","Western Sahara",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
887,"YEM","Yemen",-9999,-9999,-9999,-9999,23.7,24.3,24.5,26.6,27,27.2,29.6,31,33.2,34.9,25,-9999,42,-9999,-9999,29.5727272727273
894,"ZMB","Zambia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,-9999,-9999,28
716,"ZWE","Zimbabwe",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,52,-9999,-9999,52
