code,iso,country,Reporting Scale,Demog. Scale,Data Type,EPI Est?,Value,Unit,Year (MRYA),"Year Est? (0,1)",Source,,,,,,,,,,,,,,,,,,,,,,
124,CAN,Canada,National,Total,Treatment Level,0,84.31,percent,2009,0,EPA; OECD examines Total public sewerage (% of resident population connected to urban wastewater collecting system,May be verified by OECD data. ;  ;  ;  ;  ; SG,,,,,,,,,,,,,,,,,,,,,
132,CPV,Cape Verde,Regional,Urban,Treatment Level,1,100,percent,2008,0,"Utility Company presentation for Electra, S.A. - April 2009. http://www.tecniberia.es/jornadas/documentos/DAntaoFortes.pdf","EPI estimation based on the reported claim that ""The total collected wastewater [366.825 m^3 for the year 2008] received primary, secondary, tertiary treatment] ; Quote in Portuguese: ""A totalidade de águas residuais recolhida (366.825 m3) teve tratamento primário, secundário e terciário. Durante o ano de 2008 foram  executadas 262 novas ligações à rede de esgotos, um aumento de 4.4% face ao ano anterior. 
4.4% face ao ano anterior. ;  ;  ;  ; NH",,,,,,,,,,,,,,,,,,,,,
148,TCD,Chad,National ,Total,Treatment Level,1,0,percent,2012,1,Pinsent Masons Water Yearbook 2011-2012,"See Pinset Masons Yearbook 2011-12: ""None of the towns has a functioning wastewater disposal system and fewer than 2% of the urban population have sanitary installations with running water. There is no sewage treatment and stormwater systems are effectively non-existent."" http://www.globalwaterintel.com/pinsent-masons-yearbook/2011-2012/part-ii/11/ ;  ;  ;  ;  ; NH",,,,,,,,,,,,,,,,,,,,,
152,CHL,Chile,National,Total,Treatment Level,0,17,percent,2000,0,"Solo-Gabriele and Perez, ""Cuba's water and wastwater sector: enviromental literature, institutional and economic issues and future work"", who cite: (PAHO 2000)","http://ctp.iccas.miami.edu/Appendices/Appendix_C_Water_Wastewater/Solo-Gabriele_and_Perez_2008.pdf ; ""Percent flow treated"" PAHO 2000 ;  ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
156,CHN,China,Regional,Urban,Treatment Level,0,82.31,percent,2010,0,"China Urban Waste Water Collection and Treatment Status Report 2006-2010, Ministry of Housing and Urban-Rural Development",[CHINESE] http://www.mohurd.gov.cn/xytj/tjzljsxytjgb/w02012051519761830152701250.docx  ;  ;  ;  ;  ; WM,,,,,,,,,,,,,,,,,,,,,
156,CHN,China,Regional,Urban,Treatment Level,0,60.12,percent,2010,0,"China Urban Waste Water Collection and Treatment Status Report 2006-2010, Ministry of Housing and Urban-Rural Development",[CHINESE] http://www.mohurd.gov.cn/xytj/tjzljsxytjgb/w02012051519761830152701250.docx  ;  ;  ;  ;  ; WM,,,,,,,,,,,,,,,,,,,,,
170,COL,Colombia,National,Urban,Treatment Level,0,5,percent,2000,0,"UNEP, ""International Source Book On Environmentally Sound Technologies for Stormwater Management"" (2000).","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: NA, Secondary: 100, Other: 0 ; Specifically: ""Table 5.5: Proportion of urban sewage treated before discharge and associated level of treatment per country."" ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
188,CRI,Costa Rica,National,Total,Treatment Level,0,4,percent,2000,0,"Solo-Gabriele and Perez, ""Cuba's water and wastwater sector: enviromental literature, institutional and economic issues and future work"", who cite: (PAHO 2000)","http://ctp.iccas.miami.edu/Appendices/Appendix_C_Water_Wastewater/Solo-Gabriele_and_Perez_2008.pdf ; ""Percent flow treated"" PAHO 2000 ;  ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
188,CRI,Costa Rica,National,Urban,Treatment Level,0,4,percent,2000,1,"UNEP, ""International Source Book On Environmentally Sound Technologies for Stormwater Management"" (2000).","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: 33, Secondary: 67 Other: NA ; Specifically: ""Table 5.5: Proportion of urban sewage treated before discharge and associated level of treatment per country."" ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
188,CRI,Costa Rica,National,Total,Treatment Level,1,3.5,percent,2007,0,"Mora Alvarado, Darner Adrián; Alvaro Araya García (July 2008). ""Estado del agua para consumo humano y saneamiento en costa rica al año 2007"". vol.17 no.32: Revista Costarricense de Salud Pública. Retrieved 21 October 2012","Note: This represents Population Connection Rate, Connected to operating wastewater treatment plant. ; See section 2.4 and Table 6 of the report: ""Con el Proyecto MA-AMSJ se aumentará el 3,5% de aguas residuales municipales que son tratadas actualmente en Costa Rica."" ;  ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
384,CIV,Cote d'Ivoire,National,Total,Treatment Level,1,5,percent,2012,1,Pinsent Masons Water Yearbook,RA unsure ;  ;  ;  ;  ; NH,,,,,,,,,,,,,,,,,,,,,
192,CUB,Cuba,National,Total,Treatment Level,0,19,percent,2000,0,"Solo-Gabriele and Perez, ""Cuba's water and wastwater sector: enviromental literature, institutional and economic issues and future work"", who cite: (PAHO 2000)","http://ctp.iccas.miami.edu/Appendices/Appendix_C_Water_Wastewater/Solo-Gabriele_and_Perez_2008.pdf ; ""Percent fow treated"" PAHO 2000 ;  ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
180,COD,Dem. Rep. Congo,National,Total,Treatment Level,1,0,percent,2012,1,Pinsent Masons Water Yearbook,RA unsure ;  ;  ;  ;  ; NH,,,,,,,,,,,,,,,,,,,,,
214,DOM,Dominican Republic,National,Total,Treatment Level,0,49,percent,2000,0,"Solo-Gabriele and Perez, ""Cuba's water and wastwater sector: enviromental literature, institutional and economic issues and future work"", who cite: (PAHO 2000)","http://ctp.iccas.miami.edu/Appendices/Appendix_C_Water_Wastewater/Solo-Gabriele_and_Perez_2008.pdf ; ""Percent fow treated"" PAHO 2000 ;  ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
818,EGY,Egypt,National,Total,Treatment Level,1,49.89919355,percent,2009(?),1,"Arab Countries Water Utility Association.  (2010, March).  Wastewater Reuse in Arab Countries; Abdel Wahaab, R. Wastewater Reuse in Egypt: Opportunities and Challenges, Consultation Meeting for Experts in the Arab World on the Situation of Wastewater Management, Dubai, UAE, 22 – 24 May, 2011.","*Parentheses mean date not given, estimated based on date of report and dates associated with other data.  Different figures associated with respective reports cited in ""Source"" ; Calculated by EPI team by doing calculation: (2970)/[(5400+6500)/2] = (volume, wastewater treated) / (middle of range of reported volume, wastewater generated) ;  ;  ;  ; AA",,,,,,,,,,,,,,,,,,,,,
222,SLV,El Salvador,National,Total,Treatment Level,0,1,percent,2000,1,"UNEP, ""International Source Book On Environmentally Sound Technologies for Stormwater Management"" (2000).","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: NA Secondary: NA Other: NA ; Specifically: ""Table 5.5: Proportion of urban sewage treated before discharge and associated level of treatment per country."" ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
231,ETH,Ethiopia,National,Total,Treatment Level,1,0,percent,2012,1,Pinsent Masons Water Yearbook 2011-2012,RA unsure ;  ;  ;  ;  ; NH,,,,,,,,,,,,,,,,,,,,,
266,GAB,Gabon,National,Total,Treatment Level,1,0,percent,2008,0,"African Development Bank, Gabon Country Strategy Paper, http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/Gabon_Eng.pdf","See statement on page 17 of report noting need to establish ""a reliable system of collection and 
disposal of garbage, wastewater, etc"". Suggest no or little infrastructure may be in place. See also comment on page 11 regarding urban wastewater, ""Concerning sanitation infrastructure, 
the absence of a Land-use Master Plan for Libreville with more than 43% of the population 
and the fact that the water table is polluted by wastewater from the second largest city of the 
country (Port-Gentil)"" ;  ;  ;  ;  ; NH",,,,,,,,,,,,,,,,,,,,,
288,GHA,Ghana,Regional,Urban,Treatment Level,0,0,percent,2013,0,Correspondence with researchers Ashley Muspratt & Magdalena Bäuerl (unpublished work) ,,,,,,,,,,,,,,,,,,,,,,
288,GHA,Ghana,Regional,Urban,Treatment Level,0,33.87096774,percent,2011,1,"Murray, Ashley and Pay Drechsel. ""Why do some wastewater treatment facilities work when the majority fail? Case study from the sanitation sector in Ghana,"" Waterlines Vol. 30 No. 2, April 2011. doi: 10.3362/1756-3488.2011.015, ","Regions: All known WWTPs for all regions of Ghana. Includes commercial, community, etc. See Table 1 of author's paper. ; Quote p. 139: ""For example, the 31 WWTPs identified in Accra serve less than 10 per cent of the population."" ; Note: Calculated by EPI team by doing calculation: =21/62*100 using data provided in Table 1 of Murray & Drechsel 2011. ; (p. 139)""About 16 per cent [of the WWTPs listed on Table 1] have a larger domain and could be considered municipal/township-scale plants, including all of the FSTPs or disposal sites"" ;  ; KC",,,,,,,,,,,,,,,,,,,,,
320,GTM,Guatemala,National,Total,Treatment Level,0,9,percent,2000,1,"UNEP, ""International Source Book On Environmentally Sound Technologies for Stormwater Management"" (2000).","EPI estimates year based on date of publication of report. ; Also reports:"" Proportion of treated level waste by level"": Primary: 46 Secondary: 54 Other: NA ;   ;  ;  ; BL",,,,,,,,,,,,,,,,,,,,,
324,GIN,Guinea,National,Urban,Treatment Level,0,0,percent,2011-2012(?),1,Pinsent Masons Water Yearbook 2012-2013,"No date given. From Pinset-Masons Water Handbook 2011-2012 ; Called ""With sewage treatment"" under ""Urban Data"" ;  ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
328,GUY,Guyana,National,Urban,Treatment Level,0,0,percent,2007,1,UNSD,Compare to value for city of Georgetown municipal center: also 0% treatment ;  ;  ;  ;  ; OM,,,,,,,,,,,,,,,,,,,,,
328,GUY,Guyana,Regional,Urban,Treatment Level,1,0,percent,2013,1,"""Sewer System,"" Guyana Water Incorporated website. Accessed 16-Oct-13. http://www.gwiguyana.com/?q=node/40","City: Georgetown ; Website says there are 2 sewerage systems in Georgetown: Central Georgetown and Tucville Sewerage System.  ; See website for drivers. Quote: ""In the Central Georgetown Sewerage System there are no treatment processes. This system was designed by Howard Humphrey and Sons and was first commissioned in 1929. The system essentially comprises 24 interlinked sewerage basins each having a network of gravity sewers draining into a single pumping station. The 24 pumping stations deliver the “untreated” flows into a common ring force main then they are discharged to the mouth of the Demerara River via short outfall at Fort Groyen, Kingston."" ; Quote: ""As of 2007 we provided water to approximately 145,000 customers residing along Guyana’s coastal belt, Bartica, Linden and the Hinterland. We also provide sewerage service to about 11,000 customers in Georgetown."" ;  ; Corroboration:: US Army Corp of Engineers report (1998) says that: ""Wastewater treatment is minimal nationwide."" (i)OM",,,,,,,,,,,,,,,,,,,,,
332,HTI,Haiti,National,Total,Treatment Level,0,0,percent,2013,0,Health and Human Rights International Journal (Harvard School of Public Health) ,"Quote: ""Only between 2% and 8% of Haitian homes have household water connections.47 In addition, there are virtually no sewage or wastewater treatment facilities in Haiti.48 All water is consequently vulnerable to contamination, and it must be treated at the point of use in the household before consumption.49 Nearly 70% of households are unable to provide treatment, however.50 Boiling water, the most common treatment method, is difficult due to fuel costs."" ; http://www.hhrjournal.org/2013/09/09/woch-nan-soley-the-denial-of-the-right-to-water-in-haiti/ ;  ;  ;  ; SG",,,,,,,,,,,,,,,,,,,,,
340,HND,Honduras,National,Total,Treatment Level,0,26,percent,2008-2012,1,FAO Aquastat -  in the metadata/foototes,"From FAO aquastat's metadata/footnoes. ; *Year is an estimation because only range is given . This might not appear in the  export of the data once it is prepared. ; Quote: ""26 % of the collected wastewater receives any type of treatment before it is discharged"" ; Represents treatment level before discharge.  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Total,Treatment Level,0,20,percent,2004,0,"UNEP, ""Water Supply & Sanitation Coverage in UNEP Regional Seas, Section III: An Inventory of Regional Specific Data and the Feasibility of developing Regional Wastewater Emission Targets - Annex"" May 2004","Quote from UNEP Annex p. 1: ""Average untreated wastewater in India is 80%"" ;  ;  ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Total,Treatment Level,1,30.72857143,percent,2012,0,FAO Aquastat. Accessed 16-Oct 2013.,EPI Calculation by doing: (Volume municipal WW treate)  / (Volume municipal WW produced) = 4.302/14*100 ; Only values available for same year and country in this Aquastat query. Volume units in (10^9 m3/yr) ;  ;  ;  ; OM,,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Total,Treatment Level,1,18.7122449,percent,1990,0,FAO Aquastat. Accessed 16-Oct 2013.,EPI Calculation by doing: (Volume municipal WW treate)  / (Volume municipal WW produced) = 4.302/14*100 ; Only values available for same year and country in this Aquastat query. Volume units in (10^9 m3/yr) ;  ;  ;  ; OM,,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Total,Treatment Level,1,22.3818073,percent,1995,0,FAO Aquastat. Accessed 16-Oct 2013.,EPI Calculation by doing: (Volume municipal WW treate)  / (Volume municipal WW produced) = 4.302/14*100 ; Only values available for same year and country in this Aquastat query. Volume units in (10^9 m3/yr) ;  ;  ;  ; OM,,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Total,Treatment Level,1,16.31,percent,2001,0,FAO Aquastat. Accessed 16-Oct 2013.,"EPI Calculation by doing: (Volume municipal WW treate)  / (Volume municipal WW produced) = 4.302/14*100 ; Only values available for same year and country in this Aquastat query. Volume units in (10^9 m3/yr) ; Note: ""Produced municipal wastewater (10^9 m3/yr)"" was calculated by Aquastat for year 2001. ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Urban,Treatment Level,1,30.81246406,percent,2009,1,"Status of Water Supply, Wastewater Generation and Treatment in Class-I Cities and Class-II Towns of India. Central Pollution Control Board, 2009.","EPI calculation by doing: (Volume of wastewater treated) / (Volume of wastewater generated) = (11787 MLD)/(38254 MLD)*100 ; Note: this represents both Class-I cities and Class-II towns according to Indian definitions. ; Note: ""class-I cities and class-II towns, representing 72% of urban population in India"" according to UN-Water ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
356,IND,India,Regional,Urban,Treatment Level,0,15,percent,2004,0,"UNEP, ""Water Supply & Sanitation Coverage in UNEP Regional Seas, Section III: An Inventory of Regional Specific Data and the Feasibility of developing Regional Wastewater Emission Targets - Annex"" May 2004","City: Mumbai ; Quote from UNEP Annex p. 1: ""Out of the total estimated 7000 MLD sewage generated, treatment is done to a limited extend; 300 out of 2000 mld in Mumbai and 47 out of 757 mld in Karachi (resp. 15 and 6%) is treated."" ;  ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
356,IND,India,National,Urban,Treatment Level,0,60,percent,2012,1,"UN-Water Country Report: Kaur et al, ""Wastewater production, treatment and use in India"" 2012*",EPI calculation by doing: (Volume of wastewater treated) / (Volume of wastewater generated) = (11787 MLD)/(38254 MLD)*100 ; Note: this represents both Class-I cities and Class-II towns according to Indian definitions. ; Note: Year estimated based on references of report (report year and data point year not specified.) ;  ;  ; OM,,,,,,,,,,,,,,,,,,,,,
364,IRN,Iran,National,Total,Treatment Level,1,9.247251198,percent,2010,0,"Tajrishy, M.  (2013, May).  Wastewater Treatment and Reuse in Iran: Situation Analysis.",Calculated by EPI team by doing calculation: =((328/3547)*100) ;  ;  ;  ;  ; AA,,,,,,,,,,,,,,,,,,,,,
368,IRQ,Iraq,National,Total,Treatment Level,1,16.61290323,percent,2010,0,Economic and Social Commission for Western Asia.  (2013).  Compendium of Environmental Statistics in the Arab Region 2012-2013.,Calculated by EPI team by doing calculation: =(103/620)*100 ;  ;  ;  ;  ; AA,,,,,,,,,,,,,,,,,,,,,
368,IRQ,Iraq,National,Urban,Treatment Level,1,44.68938097,percent,2010,0,Ministry of the Environment - Report - Directly sent to EPI team 2013,"EPI calculation by: [amount of wastewater produced/ treated
(M_ /day]) / [amount of wastewater produced
(M_ /day]  =728129/1629311*100 ; For central treatment stations only (that is, urban) ;  ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
388,JAM,Jamaica,National,Total,Treatment Level,1,40,percent,2010,0,Jamaica State of the Environment Report 2010,Note: this is based on government's self-assess compliance rate of all WWTPs. Definition may vary but overall report says they have 'low performance' (p. 99) ;  ;  ;  ;  ; LJ,,,,,,,,,,,,,,,,,,,,,
404,KEN,Kenya,National,Total,Treatment Level,0,5,percent,2010?,1,"Eng Robert Gakubia (Water Services Regulatory Board, Kenya), Dr. Ulrike Pokorski & Patrick Onyango (German Technical Development Cooperation). ""Upscaling Access to Sustainable Conservation."" Powerpoint Presentation. 26 January 2010. ","Cites ""Kloss report"" within this pdf presentation.  ; Note conflict: Pinsent Masons Water Yearbook 2012-2013 cites 10% ;  ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
404,KEN,Kenya,National,Urban,Treatment Level,0,10,percent,2011-2012(?),1,Pinsent Masons Water Yearbook 2012-2013,"See other: Upscaling Access to Sustinable Conservation Conference (cites 10%) ; Data sources end at 2010; From PM Yearbok for 2011-2012; thus, EPI must guess year ;  ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
404,KEN,Kenya,Regional,Urban,Treatment Level,0,80,percent,2011,0,Nairobi Water and City Sewerage Company,"City: Nairobi ; From website: ""Dandora estate sewerage treatment works is a section of Nairobi water and Sewerage Company located at 26 km from Nairobi city along Kangundo road. It treats about 80,0000m3/day equivalent to about 80% of waste water generated from Nairobi city."" ; http://www.nairobiwater.co.ke/water_quality/?ContentID=7 ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
404,KEN,Kenya,Regional,Urban,Treatment Level,1,0,percent,2008?,1,"UNEP/Nairobi Convention Secretariat and WIOMSA, 2009. The Status of Municipal Wastewater Management in the Western Indian Ocean Region. UNEP, Nairobi, Kenya, 82 pp.","City: Mombasa ; Quote (24): ""However the treatment plant is not working due to management and operational problems."" ; http://www.nairobiwater.co.ke/water_quality/?ContentID=7 ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
404,KEN,Kenya,Regional,Urban,Treatment Level,1,10,percent,2007,1,"UNEP/Nairobi Convention Secretariat and WIOMSA, 2009. The Status of Municipal Wastewater Management in the Western Indian Ocean Region. UNEP, Nairobi, Kenya, 82 pp.","Region: Coastal region of Kenya ; See (p. 27): ""Most of the major manufacturing industries in (over 90 %) located along the Kenya coastal area in the industrial areas of Mombasa and Mazeras and Mariakani area in Kilifi District, do not pre-treat their effluents before discharge, with the exception of a few which include the petroleum refinery."" ; http://www.nairobiwater.co.ke/water_quality/?ContentID=7 ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
422,LBN,Lebanon,National,Total,Treatment Level,1,26.36986301,percent,2008?,1,"Arab Countries Water Utility Association. (2010, March). Wastewater Reuse in Arab Countries",Date is estimated as 2008 by EPI team based on publication year of report. ; Calculated by EPI using the following: = ((Volume WW Treated) / (Volume WW Generated))*100 = 77/292*100 ;  ;  ;  ; AA,,,,,,,,,,,,,,,,,,,,,
426,LSO,Lesotho,National,Urban,Treatment Level,0,5,percent,2011-2012(?),1,Pinsent Masons Water Yearbook 2012-2013,Year we suspect: 2004 ; http://www.globalwaterintel.com/pinsent-masons-yearbook/2011-2012/part-ii/41/ ;  ;  ;  ; KC,,,,,,,,,,,,,,,,,,,,,
430,LBR,Liberia,National,Total,Treatment Level,1,0,percent,2010,0,"Report, ""Life and Dignity at Risk: the Water, Sanitation and Hygiene Sector in Liberia."" Liberia WASH Consortium, 2010.","Quote from p. 9:""As_regards_sewerage,_about_25_per_cent_of_Monrovia‘s_geographical_area_is_connected_to_the_sewer_system,_which_conveys_the_sewage_to_the_treatment_plant._The_septic_tank_contents_are_carried_by_vacuum_trucks_and_discharged_into_the_sewer_network._The_sewage_simply_passes_through_the_primary_units_in_the_treatment_plant_without_getting_treated."" ;  ;  ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
430,LBR,Liberia,Regional,Urban,Treatment Level,1,0,percent,2010,0,"Report, ""Life and Dignity at Risk: the Water, Sanitation and Hygiene Sector in Liberia."" Liberia WASH Consortium, 2010.","City: Monrovia ; Quote from p. 9:""As_regards_sewerage,_about_25_per_cent_of_Monrovia‘s_geographical_area_is_connected_to_the_sewer_system,_which_conveys_the_sewage_to_the_treatment_plant._The_septic_tank_contents_are_carried_by_vacuum_trucks_and_discharged_into_the_sewer_network._The_sewage_simply_passes_through_the_primary_units_in_the_treatment_plant_without_getting_treated."" ; Quote from p. 26: ""In Monrovia, the sewage from the flush toilets and sewage from hundreds of septic tanks (collected by vacuum trucks) is discharged into the sewer network. However since the sewage treatment plant is not working and the sewage eventually finds its way untreated into the environment, it is strictly not considered as safe disposal of excreta."" ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
450,MDG,Madagascar,National,Total,Treatment Level,0,0,percent,2011,0,UN Office for the Coordination of Humanitarian Affairs - News, ;  ;  ;  ;  ; KC,,,,,,,,,,,,,,,,,,,,,
450,MDG,Madagascar,Regional,Total,Treatment Level,1,75-95?,percent,2009,0,"UNEP, ""Regional Synthesis Report on the Status of Pollution in the Western Indian Ocean Region"" (2009)","http://www.unep.org/NairobiConvention/docs/UNEP(DEPI)_EAF_CP_6_INF_9_Regional_Synthesis_Report_Status_of_Pollution_in_the_WIO_Region.pdf ; Inferred by text (p. 39): ""The majority of these industries do not treat their waste."" ;  ;  ;  ; OM",,,,,,,,,,,,,,,,,,,,,
454,MWI,Malawi,National,Total,Treatment Level,0,0,percent,2011-2012(?),1,Pinsent Masons Water Yearbook 2012-2013,"GWI Cites source, African Development Bank / OECD (2007) African Economic Outlook, but it doesn't say anything about wastewater treatment.
 ;  ; ""There_is_no_information_on_the_quantities_of_wastewater_generated_in_Malawi_at_the_moment._""_and_""There_is_need_for_human_capacity_to_generate_data_on_quantity_and_quality_of_wastewater_and_plan_for_an_efficient_wastewater_management_system_which_can_help_reduce_the_potential_public_health_risks_associated_with_wastewater_management._"" From http://www.ais.unwater.org/ais/pluginfile.php/231/mod_page/content/182/country_report_malawi.pdf ;  ;  ; KC",,,,,,,,,,,,,,,,,,,,,
